acc.date,aircraft_type,operator,fatalities,damage,year
2022-07-30,Boeing 737-86N (Wl),Nok Air,0,Substantial,2022
2022-08-05,Boeing 777-Fdz,Qatar Airways Cargo,0,Substantial,2022
2022-08-06,Boeing 757-251 (Wl),Delta Air Lines,0,Substantial,2022
2022-08-07,Iai 1124 Westwind,Brasil Vida Táxi Aéreo,0,Substantial,2022
2022-08-15,Cessna 560 Citation Encore,"Raber Flight Services, Llc",0,Substantial,2022
2022-08-17,Antonov An-24B,Angara Airlines,0,Substantial,2022
2022-08-19,Boeing 737-824 (Wl),United Airlines,0,None,2022
2022-08-20,Beechcraft 99,Pacc Air,0,Substantial,2022
2022-08-29,Boeing 717-2Bd,Delta Air Lines,0,None,2022
2022-08-30,Cessna 208B Grand Caravan Ex,Smart Cakrawala Aviation,0,Substantial,2022
2022-08-31,Cessna 208B Grand Caravan Ex,Private,0,Written Off,2022
2022-09-01,Boeing 737-824 (Wl),United Airlines,0,None,2022
2022-09-02,Airbus A320-251N,Tap Air Portugal,0,Substantial,2022
2022-09-02,Antonov An-2R,2Nd Arkhangelsk United Aviation Division,0,Substantial,2022
2022-09-03,Shorts Sc.7 Skyvan 3M-400,Skyforce,2,Written Off,2022
2022-09-04,Airbus A220-100,Delta Air Lines,0,None,2022
2022-09-04,Boeing 777-F1H,Aerologic,0,None,2022
2022-09-04,De Havilland Canada Dhc-3T Turbine Otter,Friday Harbor Seaplane Tours,10,Written Off,2022
2022-09-04,Cessna 551 Citation Ii/Sp,Gg Rent,4,Written Off,2022
2022-09-07,Cessna 750 Citation X,"Bvs, Inc",0,Substantial,2022
2022-09-09,Learjet 36,Strategic Airborne Operations,0,Substantial,2022
2022-09-09,Cirrus Sf50 Vision Jet,Tac9 Inc.,0,Substantial,2022
2022-09-10,Antonov An-28,Tracep-Congo Aviation,3,Written Off,2022
2022-09-10,Cessna 208B Grand Caravan,Piquiatuba Táxi Aéreo,1,Written Off,2022
2022-09-15,Fairchild Sa227-Ac Metro Iii,Aeronaves Tsm,0,Substantial,2022
2022-09-19,Beechcraft 1900C-1,Equaflight Services,0,Substantial,2022
2022-09-20,Dassault Falcon 2000,Pepkor Group,0,Substantial,2022
2022-09-20,Cessna 525B Citationjet Cj3,Pacific Cataract & Laser Institute Inc Pc,0,Written Off,2022
2022-09-20,British Aerospace 3201 Jetstream 32Ep,Saeta Peru,1,Substantial,2022
2022-09-21,Britten Norman Bn-2A-8 Islander,Jags Aviation,0,Substantial,2022
2022-09-21,Rockwell Sabreliner 65,Private,0,Written Off,2022
2022-09-22,Boeing 737-8Hc (Wl),Sunexpress,0,Substantial,2022
2022-09-22,Antonov An-2R,Crop Protection Company,0,Substantial,2022
2022-09-24,Boeing 737-436 (Sf),"Swiftair, Opf West Atlantic (Uk)",0,Substantial,2022
2022-09-25,Boeing 737-8V3 (Wl),Copa Airlines,0,Substantial,2022
2022-09-25,Fokker 50,Freedom Airline Express,0,Substantial,2022
2022-09-27,Cessna 550 Citation Ii,Abs Equipment Leasing,0,Substantial,2022
2022-09-28,Boeing 757-256 (Wl),Icelandair Flugfélag Islands,0,Substantial,2022
2022-09-28,Boeing 777-3B5Er,Korean Air,0,Substantial,2022
2022-09-29,Boeing 737-7Ct (Wl),Southwest Airlines,0,None,2022
