acc.date,aircraft_type,operator,location,fatalities,damage
5/12/2021,Boeing 737-8As (Wl),Ryanair,0,0,None
5/12/2021,Swearingen Sa226-Tc Metro Ii,Key Lime Air,0,0,Substantial
5/13/2021,Cessna 208B Grand Caravan,Skydive Andes,0,0,Unknown
5/19/2021,Hawker 800,private,0,0,Written Off
5/20/2021,Iai 1125 Astra,private,0,0,Substantial
5/21/2021,Boeing 737-7H4,Southwest Airlines,0,0,Minor
5/21/2021,Antonov An-2R,Utair,0,0,Substantial
5/21/2021,Beechcraft B300 King Air 350I,Nigerian Air Force - NAF,11,0,Written Off
5/28/2021,Boeing 767-38E,Asiana Airlines,0,0,None
5/28/2021,Boeing 737-823 (Wl),American Airlines,0,0,Substantial
5/29/2021,Cessna 501 Citation I/Sp,JL&GL Productions LP,7,0,Written Off
5/30/2021,Atr 72-500 (72-212A),Sky Express,0,0,Substantial
6/2/2021,Beechcraft 1900C,Alpine Air Express,0,0,Substantial
6/3/2021,Cessna 208B Grand Caravan Ex,Dabi Air Nusantara,0,0,Written Off
6/4/2021,Honda Ha-420 Hondajet,GF Aviation LLC,0,0,Substantial
6/5/2021,Cessna 208B Supervan 900,Paraclub Wiener Neustadt,0,0,Substantial
6/7/2021,Boeing 737-8Al (Wl),Vistara,0,0,None
6/10/2021,Beechcraft 1900D,Tatmadaw Lei (Myanmar Air Force),12,0,Written Off
6/13/2021,Boeing 737-8As (Wl),Ryanair,0,0,None
6/14/2021,Atr 72-600 (72-212A),IndiGo Airlines,0,0,Substantial
6/16/2021,Let L-410Uvp-E,Kin Avia,3,0,Written Off
6/18/2021,Boeing 787-8 Dreamliner,British Airways,0,0,Substantial
6/19/2021,Let L-410Uvp-E,DOSAAF,5,0,Written Off
6/21/2021,Rockwell Sabreliner 65,private,0,0,Written Off
6/23/2021,Gulfstream G280,INEOS Aviation,0,0,Substantial
6/23/2021,Lockheed L-100-30 Hercules,Ethiopian Air Force,,0,Written Off
6/24/2021,Antonov An-2R,private,0,0,Substantial
6/25/2021,Airbus A321-231,American Airlines,0,0,None
6/25/2021,Shorts 360-300,Air Cargo Carriers,0,0,Substantial
6/25/2021,Cessna 208B Supervan 900,Skydive Teuge,0,0,Substantial
6/29/2021,Airbus A350-941,Air France,0,0,None
7/1/2021,Convair Cv-580 Airtanker,Conair,0,0,Substantial
7/1/2021,Convair Cv-580 Airtanker,Conair,0,0,Minor
7/2/2021,Boeing 737-275C Adv.,Transair (Cargo),0,0,Written Off
7/2/2021,Cessna 750 Citation X,Hellenic CAA,0,0,Substantial
7/4/2021,Airbus A321-231,American Airlines,0,0,None
7/4/2021,Antonov An-2R,ELISA,0,0,Substantial
7/4/2021,Lockheed C-130H Hercules,Hukbong Himpapawid ng Pilipinas (Philippine Air Force),50+3,0,Written Off
7/5/2021,Iai 1124A Westwind Ii,Transenergie Inc,2,0,Written Off
7/6/2021,Atr 42-320,Transwest Air,0,0,None
7/6/2021,Antonov An-26B-100,Kamchatka Aviation Enterprise,28,0,Written Off
7/7/2021,Cessna 208B Grand Caravan,Ryan Air,0,0,None
7/8/2021,Douglas Dc-3C,ALIANSA Colombia,3,0,Written Off
7/11/2021,Airbus A320-214,Condor Flugdienst,0,0,Substantial
7/11/2021,De Havilland Canada Dhc-3T Vazar Turbine Otter,Northwestern Air,0,0,Substantial
7/11/2021,Cessna 208 Caravan I,Air Tunilik,0,0,Substantial
7/14/2021,Cessna 208B Grand Caravan Ex,Jags Aviation,0,0,Substantial
7/15/2021,De Havilland Canada Dhc-3T Vazar Turbine Otter,Harbour Air,0,0,Substantial
7/15/2021,Cessna 208 Caravan I,Seair Seaplanes,0,0,Substantial
7/16/2021,Antonov An-28,SiLA - Siberian Light Aviation,0,0,Substantial
7/17/2021,Cessna 208B Supervan 900,GoSkydive,0,0,Substantial
7/18/2021,Atr 72-500 (72-212A),"Air Europa Express, opb Aeronova",0,0,Substantial
7/20/2021,British Aerospace Bae-125-700A,private,0,0,Written Off
7/21/2021,Cessna 560Xl Citation Excel,PV Transport Inc,0,0,Substantial
7/21/2021,De Havilland Canada Dhc-8-106,Skyward Express,0,0,Substantial
7/22/2021,Airbus A321-211,Delta Air Lines,0,0,None
7/25/2021,Boeing 737-8Jp (Wl),Norwegian Air Sweden,0,0,None
7/26/2021,Bombardier Cl-600-2B16 Challenger 605,Aeolus Air Charter,6,0,Written Off
7/26/2021,Cessna 208 Supervan 900,Skydive Binz,1,0,Written Off
7/27/2021,Cessna 208B Grand Caravan,"Abyssinian Flight Services, opf UNWorld Food Programme",0,0,Written Off
7/31/2021,Boeing 737-8As (Wl),Ryanair,0,0,None
8/3/2021,Airbus A300B4-622R (F),European Air Transport,0,0,Substantial
8/9/2021,Gulfstream American G-1159A Gulfstream Iii,private,0,0,Written Off
8/11/2021,Mcdonnell Douglas Md-11F,United Parcel Service - UPS,0,0,Substantial
8/12/2021,Shijiazhuang Y-5B(D),Northeast General Aviation Co.,0,0,Written Off
8/14/2021,Britten-Norman Bn-2A-Iii-2 Trislander,Roraima Airways,0,0,Minor
8/14/2021,Bombardier Dhc-8-402Q Dash 8,Congo Airways,0,0,Minor
8/14/2021,Beriev Be-200Chs,Russian Navy,8,0,Written Off
8/16/2021,Cessna 208B Grand Caravan,Wright Air Service,0,0,Substantial
8/17/2021,Ilyushin Il-112V,United Aircraft Corporation,3,0,Written Off
8/21/2021,Airbus A319-132,American Airlines,0,0,None
8/21/2021,De Havilland Canada Dhc-3T Turbine Otter,Brooks Range Aviation,0,0,Substantial
8/21/2021,Gulfstream G-Iv,SN 1124 LLC,0,0,Substantial
8/23/2021,Boeing 737-990Er,Alaska Airlines,0,0,None
